CARRIER,SMS_EMAIL,MMS_EMAIL
"Airfire Mobile",number@sms.airfiremobile.com,
"Alaska Communications",number@msg.acsalaska.com,
"All Carrier",number@email.experttexting.com,
"Alltel (Allied Wireless)",number@sms.alltelwireless.com,number@mms.alltelwireless.com
Ameritech,number@paging.acswireless.com,
"Assurance Wireless",number@vmobl.com,
"AT&T Enterprise Paging",number@page.att.net,
"AT&T Global Smart Messaging Suite",number@sms.smartmessagingsuite.com,
"AT&T grandfathered customers",number@mmode.com,
"AT&T Mobility",number@txt.att.net,number@mms.att.net
"AT&T Mobility (formerly Cingular)",number@cingularme.com,
"AT&T Mobility (formerly Cingular)",number@mobile.mycingular.com,
BellSouth,number@bellsouth.cl,
blablaSMS,,
"Bluegrass Cellular",number@sms.bluecell.com,number@mms.myblueworks.com
"Bluesky Communications",number@psms.bluesky.as,
"Boost Mobile",number@sms.myboostmobile.com,number@myboostmobile.com
BudgetSMS.net,,
BulkSMS.com,number@bulksms.net,
Bulletin.net,InternationalFormattednumber@bulletinmessenger.net,
"C Beyond (All Page Wireless)",number@cbeyond.sprintpcs.com,
"C Spire Wireless",number@cspire1.com,
Cellcom,number@cellcom.quiktxt.com,
"Cellular South",number@csouth1.com,
"Centennial Wireless",number@cwemail.com,
"Chariton Valley Wireless",number@sms.cvalley.net,
"Chat Mobility",number@mail.msgsender.com,
"Cincinnati Bell",number@gocbw.com,
"Cingular (Postpaid)",number@mobile.mycingular.com,
Cleartalk,number@sms.cleartalk.us,
"CM Telecom",www.smsgateway.to/en,
"Consumer Cellular",number@cingularme.com,
"Consumer Cellular",number@mailmymobile.net,
DTC,number@sms.advantagecell.net,
"Edge Wireless",number@sms.edgewireless.com,
"Element Mobile",number@SMS.elementmobile.net,
Esendex,number@echoemail.net,
FreeSMSGateway.info,,
"General Communications Inc.",number@mobile.gci.net,
"Globalstar (satellite)",number@msg.globalstarusa.com,
"Golden State Cellular",number@gscsms.com,
"Google Fi",number@msg.fi.google.com,number@msg.fi.google.com
Greatcall,number@vtxt.com,
"Hawaiian Telcom Wireless",number@hawaii.sprintpcs.com,
Helio,number@myhelio.com,
"i wireless (T-Mobile)",number.iws@iwspcs.net,
"i-wireless (Sprint PCS)",number@iwirelesshometext.com,
"Iridium (satellite)",number@msg.iridium.com,
Kajeet,number@mobile.kajeet.net,
LongLines,number@text.longlines.com,
"Mellon Mobile",number@mellonmobile.ga,
MetroPCS,number@mymetropcs.com,
Nextech,number@sms.ntwls.net,
nTelos,number@pcs.ntelos.com,
"Page Plus Cellular(Verizon MVNO)",number@vtext.com,number@mypixmessages.com
"Panacea Mobile",number@api.panaceamobile.com,
Phonovation,,
"Pioneer Cellular",nine-digit-number@zsend.com,
"Pocket Wireless",number@sms.pocket.com,
"Qwest Wireless",number@qwestmp.com,
"Red Oxygen",http://www.redoxygen.net/web_sms/,
"Red Pocket Mobile(AT&T MVNO)",number@txt.att.net,number@mms.att.net
"Rogers Wireless",number@pcs.rogers.com,
"Rogers Wireless",number@sms.rogers.com,
RoutoMessaging,number@email2sms.routomessaging.com,
Sendmode,number@sendmode.com,
"Simple Mobile",number@smtext.com,
"South Central Communications",number@rinasms.com,
Southernlinc,number@page.southernlinc.com,
Sprint,number@pm.sprint.com,
"Straight Talk",number@messaging.sprintpcs.com,
"Straight Talk",number@txt.att.net,number@mms.att.net
"Straight Talk",number@vtext.com,
"Syringa Wireless",number@rinasms.com,
Teleflip,number@teleflip.com,
TellusTalk,number@esms.nu,
"Telus Mobility",number@msg.telus.com,number@mms.telusmobility.com
Textmagic.com,,
"Thuraya (satellite)",,
Ting,number@message.ting.com,
"TracFone (prepaid)",number@txt.att.net,
"TracFone (prepaid)",number@email.uscc.net,
"TracFone (prepaid)",number@message.alltel.com,
"TracFone (prepaid)",number@tmomail.net,
"TracFone (prepaid)",number@vtext.com,
UkraineCalling,,
Unicel,number@utext.com,
"Union Wireless",number@union-tel.com,
"US Cellular",number@email.uscc.net,number@mms.uscc.net
"USA Mobility",number@usamobility.net,
"Verizon Wireless",number@vtext.com,
"Verizon Wireless (Alltel)",number@text.wireless.alltel.com,number@message.Alltel.com
"Verizon Wireless (Alltel)",number@text.wireless.alltel.com,number@mms.alltel.net
"Verizon Wireless (Alltel)",number@vtext.com,
Viaero,number@viaerosms.com,number@mmsviaero.com
"Virgin Mobile",number@vmobl.com,number@vmpix.com
"Voyager Mobile",number@text.voyagermobile.com,
"West Central Wireless",number@sms.wcc.net,
"XIT Communications",number@sms.xit.net,
